"Answer.time_in_minutes","block_sequence","workerid","response","trial_sequence_total","Answer.condition","condition","first_response_value","wrong_attempts","list_number","item_number"
14.3534333333333,1,2,0.78,1,"undefined","FILL",NA,NA,"1","119"
14.3534333333333,1,2,0.78,2,"undefined","FILL",NA,NA,"1","104"
14.3534333333333,1,2,0.86,3,"undefined","FILL",NA,NA,"1","134"
14.3534333333333,1,2,0.88,4,"undefined","SUBJ",NA,NA,"1","11"
14.3534333333333,1,2,0.21,5,"undefined","WH",NA,NA,"1","12"
14.3534333333333,1,2,0.22,6,"undefined","CNPC",NA,NA,"1","10"
14.3534333333333,1,2,0.13,7,"undefined","UNGRAM",NA,NA,"99","994"
14.3534333333333,1,2,0.92,8,"undefined","FILL",NA,NA,"99","994"
14.3534333333333,8,2,0.94,9,"undefined","FILL",NA,NA,"1","128"
14.3534333333333,8,2,0.18,10,"undefined","SUBJ",NA,NA,"1","38"
14.3534333333333,8,2,0.89,11,"undefined","FILL",NA,NA,"1","143"
14.3534333333333,8,2,0.17,12,"undefined","CNPC",NA,NA,"1","37"
14.3534333333333,8,2,0.46,13,"undefined","WH",NA,NA,"1","39"
14.3534333333333,8,2,0.75,14,"undefined","FILL",NA,NA,"1","113"
14.3534333333333,9,2,0.69,15,"undefined","WH",NA,NA,"1","24"
14.3534333333333,9,2,0.89,16,"undefined","FILL",NA,NA,"1","138"
14.3534333333333,9,2,0.89,17,"undefined","FILL",NA,NA,"1","108"
14.3534333333333,9,2,0.12,18,"undefined","CNPC",NA,NA,"1","22"
14.3534333333333,9,2,0.86,19,"undefined","FILL",NA,NA,"1","123"
14.3534333333333,9,2,0.22,20,"undefined","SUBJ",NA,NA,"1","23"
14.3534333333333,10,2,0.19,21,"undefined","CNPC",NA,NA,"1","4"
14.3534333333333,10,2,0.23,22,"undefined","WH",NA,NA,"1","6"
14.3534333333333,10,2,0.94,23,"undefined","FILL",NA,NA,"1","117"
14.3534333333333,10,2,0.87,24,"undefined","FILL",NA,NA,"1","132"
14.3534333333333,10,2,0.9,25,"undefined","FILL",NA,NA,"1","102"
14.3534333333333,10,2,0.68,26,"undefined","SUBJ",NA,NA,"1","5"
14.3534333333333,10,2,0.17,27,"undefined","UNGRAM",NA,NA,"99","992"
14.3534333333333,10,2,0.85,28,"undefined","FILL",NA,NA,"99","992"
14.3534333333333,11,2,0.88,29,"undefined","FILL",NA,NA,"1","127"
14.3534333333333,11,2,0.88,30,"undefined","FILL",NA,NA,"1","112"
14.3534333333333,11,2,0.15,31,"undefined","CNPC",NA,NA,"1","34"
14.3534333333333,11,2,0.91,32,"undefined","FILL",NA,NA,"1","142"
14.3534333333333,11,2,0.19,33,"undefined","SUBJ",NA,NA,"1","35"
14.3534333333333,11,2,0.18,34,"undefined","WH",NA,NA,"1","36"
14.3534333333333,12,2,0.87,35,"undefined","FILL",NA,NA,"1","107"
14.3534333333333,12,2,0.86,36,"undefined","FILL",NA,NA,"1","122"
14.3534333333333,12,2,0.15,37,"undefined","WH",NA,NA,"1","21"
14.3534333333333,12,2,0.84,38,"undefined","FILL",NA,NA,"1","137"
14.3534333333333,12,2,0.36,39,"undefined","CNPC",NA,NA,"1","19"
14.3534333333333,12,2,0.26,40,"undefined","SUBJ",NA,NA,"1","20"
14.3534333333333,13,2,0.88,41,"undefined","SUBJ",NA,NA,"1","2"
14.3534333333333,13,2,0.13,42,"undefined","CNPC",NA,NA,"1","1"
14.3534333333333,13,2,0.87,43,"undefined","FILL",NA,NA,"1","131"
14.3534333333333,13,2,0.94,44,"undefined","FILL",NA,NA,"1","116"
14.3534333333333,13,2,0.91,45,"undefined","FILL",NA,NA,"1","101"
14.3534333333333,13,2,0.18,46,"undefined","WH",NA,NA,"1","3"
14.3534333333333,13,2,0.21,47,"undefined","UNGRAM",NA,NA,"99","991"
14.3534333333333,13,2,0.8,48,"undefined","FILL",NA,NA,"99","991"
14.3534333333333,14,2,0.48,49,"undefined","SUBJ",NA,NA,"1","44"
14.3534333333333,14,2,0.23,50,"undefined","WH",NA,NA,"1","45"
14.3534333333333,14,2,0.15,51,"undefined","CNPC",NA,NA,"1","43"
14.3534333333333,14,2,0.86,52,"undefined","FILL",NA,NA,"1","115"
14.3534333333333,14,2,0.88,53,"undefined","FILL",NA,NA,"1","145"
14.3534333333333,14,2,0.89,54,"undefined","FILL",NA,NA,"1","130"
14.3534333333333,15,2,0.86,55,"undefined","FILL",NA,NA,"1","105"
14.3534333333333,15,2,0.87,56,"undefined","SUBJ",NA,NA,"1","14"
14.3534333333333,15,2,0.82,57,"undefined","FILL",NA,NA,"1","135"
14.3534333333333,15,2,0.5,58,"undefined","WH",NA,NA,"1","15"
14.3534333333333,15,2,0.53,59,"undefined","FILL",NA,NA,"1","120"
14.3534333333333,15,2,0.27,60,"undefined","CNPC",NA,NA,"1","13"
14.3534333333333,2,2,0.78,61,"undefined","SUBJ",NA,NA,"1","8"
14.3534333333333,2,2,0.79,62,"undefined","FILL",NA,NA,"1","133"
14.3534333333333,2,2,0.16,63,"undefined","CNPC",NA,NA,"1","7"
