"Answer.time_in_minutes","item_number","first_response_value","wrong_attempts","condition","list_number","trial_sequence_total","Answer.condition","workerid","block_sequence","response"
10.14495,"29",NA,NA,"SUBJ","1",1,"undefined",0,2,0.21
10.14495,"110",NA,NA,"FILL","1",2,"undefined",0,2,1
10.14495,"125",NA,NA,"UNGRAM","1",3,"undefined",0,2,0.01
10.14495,"30",NA,NA,"WH","1",4,"undefined",0,2,0.6
10.14495,"28",NA,NA,"CNPC","1",5,"undefined",0,2,0.97
10.14495,"12",NA,NA,"WH","1",6,"undefined",0,9,0.65
10.14495,"119",NA,NA,"UNGRAM","1",7,"undefined",0,9,0.01
10.14495,"11",NA,NA,"SUBJ","1",8,"undefined",0,9,0.29
10.14495,"104",NA,NA,"FILL","1",9,"undefined",0,9,0.95
10.14495,"10",NA,NA,"CNPC","1",10,"undefined",0,9,0.78
10.14495,"102",NA,NA,"FILL","1",11,"undefined",0,10,1
10.14495,"5",NA,NA,"SUBJ","1",12,"undefined",0,10,0.49
10.14495,"4",NA,NA,"CNPC","1",13,"undefined",0,10,0.26
10.14495,"6",NA,NA,"WH","1",14,"undefined",0,10,0.69
10.14495,"117",NA,NA,"UNGRAM","1",15,"undefined",0,10,0
10.14495,"17",NA,NA,"SUBJ","1",16,"undefined",0,11,0.73
10.14495,"121",NA,NA,"UNGRAM","1",17,"undefined",0,11,0
10.14495,"16",NA,NA,"CNPC","1",18,"undefined",0,11,0.75
10.14495,"18",NA,NA,"WH","1",19,"undefined",0,11,0.99
10.14495,"106",NA,NA,"FILL","1",20,"undefined",0,11,1
10.14495,"108",NA,NA,"FILL","1",21,"undefined",0,12,1
10.14495,"22",NA,NA,"CNPC","1",22,"undefined",0,12,0.85
10.14495,"123",NA,NA,"UNGRAM","1",23,"undefined",0,12,0.03
10.14495,"24",NA,NA,"WH","1",24,"undefined",0,12,0.87
10.14495,"23",NA,NA,"SUBJ","1",25,"undefined",0,12,0.98
10.14495,"112",NA,NA,"FILL","1",26,"undefined",0,13,0.82
10.14495,"127",NA,NA,"UNGRAM","1",27,"undefined",0,13,0.1
10.14495,"35",NA,NA,"SUBJ","1",28,"undefined",0,13,1
10.14495,"34",NA,NA,"CNPC","1",29,"undefined",0,13,0.74
10.14495,"36",NA,NA,"WH","1",30,"undefined",0,13,0.99
10.14495,"130",NA,NA,"UNGRAM","1",31,"undefined",0,14,0.21
10.14495,"115",NA,NA,"FILL","1",32,"undefined",0,14,0.97
10.14495,"43",NA,NA,"CNPC","1",33,"undefined",0,14,0.69
10.14495,"44",NA,NA,"SUBJ","1",34,"undefined",0,14,0.41
10.14495,"45",NA,NA,"WH","1",35,"undefined",0,14,0.7
10.14495,"37",NA,NA,"CNPC","1",36,"undefined",0,15,0.49
10.14495,"128",NA,NA,"UNGRAM","1",37,"undefined",0,15,0.21
10.14495,"113",NA,NA,"FILL","1",38,"undefined",0,15,0.85
10.14495,"38",NA,NA,"SUBJ","1",39,"undefined",0,15,0.77
10.14495,"39",NA,NA,"WH","1",40,"undefined",0,15,1
10.14495,"120",NA,NA,"UNGRAM","1",41,"undefined",0,16,0.15
10.14495,"105",NA,NA,"FILL","1",42,"undefined",0,16,0.97
10.14495,"15",NA,NA,"WH","1",43,"undefined",0,16,0.59
10.14495,"13",NA,NA,"CNPC","1",44,"undefined",0,16,0.32
10.14495,"14",NA,NA,"SUBJ","1",45,"undefined",0,16,1
10.14495,"122",NA,NA,"UNGRAM","1",46,"undefined",0,3,0.13
10.14495,"21",NA,NA,"WH","1",47,"undefined",0,3,0.75
10.14495,"107",NA,NA,"FILL","1",48,"undefined",0,3,0.98
10.14495,"20",NA,NA,"SUBJ","1",49,"undefined",0,3,0.9
10.14495,"19",NA,NA,"CNPC","1",50,"undefined",0,3,0.34
10.14495,"3",NA,NA,"WH","1",51,"undefined",0,4,0.97
10.14495,"1",NA,NA,"CNPC","1",52,"undefined",0,4,0.71
10.14495,"116",NA,NA,"UNGRAM","1",53,"undefined",0,4,0.01
10.14495,"101",NA,NA,"FILL","1",54,"undefined",0,4,0.97
10.14495,"2",NA,NA,"SUBJ","1",55,"undefined",0,4,0.73
10.14495,"124",NA,NA,"UNGRAM","1",56,"undefined",0,5,0.12
10.14495,"109",NA,NA,"FILL","1",57,"undefined",0,5,1
10.14495,"26",NA,NA,"SUBJ","1",58,"undefined",0,5,0.85
10.14495,"27",NA,NA,"WH","1",59,"undefined",0,5,1
10.14495,"25",NA,NA,"CNPC","1",60,"undefined",0,5,0.9
10.14495,"129",NA,NA,"UNGRAM","1",61,"undefined",0,6,0.01
10.14495,"42",NA,NA,"WH","1",62,"undefined",0,6,1
10.14495,"114",NA,NA,"FILL","1",63,"undefined",0,6,0.78
10.14495,"41",NA,NA,"SUBJ","1",64,"undefined",0,6,0.34
10.14495,"40",NA,NA,"CNPC","1",65,"undefined",0,6,0.99
10.14495,"31",NA,NA,"CNPC","1",66,"undefined",0,7,0.91
10.14495,"111",NA,NA,"FILL","1",67,"undefined",0,7,0.98
10.14495,"126",NA,NA,"UNGRAM","1",68,"undefined",0,7,0.01
10.14495,"32",NA,NA,"SUBJ","1",69,"undefined",0,7,1
10.14495,"33",NA,NA,"WH","1",70,"undefined",0,7,0.92
10.14495,"9",NA,NA,"WH","1",71,"undefined",0,8,0.38
