comments,asses,fairprice,workerid,language,age,problems,gender,education,enjoyment
No comment.,Yes,3,0,English,36,No.,Female,3,1
,Yes,3.00,1,English,42,No,Male,3,1
,Yes,3.00,2,english,33,,Male,3,2
,Yes,3,3,English ,26,No,Male,3,2
,Yes,3.10,4,English,31,No issues to report.,Male,1,1
"nice work,i love it. ",Yes,3,5,English,27,n/a,Male,3,2
,Yes,3.00,6,English,41,None,Female,3,1
,Yes,4.00,7,English,29,No,Male,3,2
,Yes,5 dollars ,8,English,64,"No, everything were pretty clear",Male,4,1
,Yes,Yes,9,English,54,No,Female,2,2
,Yes,3.00,10,english,24,,Male,3,2
none,Yes,5,11,English,63,no,Female,1,1
good,Yes,good,12,English,30,no,Male,3,2
very nice task,Yes,very fair,13,English,28,none,Female,3,2
nice experiment,Yes,3,14,english,28,none,Female,3,2
Great pay as always.,Yes,3.00,15,English,25,Nope,Male,1,2
I guess it was kinda tricky but I don't have much to add as far as thoughts go. Good luck.,Yes,3,16,English,36,No bugs,Male,1,2
,Yes,3,17,English,32,"One or two of the sentences had misspellings, but other than that, there were no issues.",Male,3,0
n/a,Yes,3.00,18,english,45,no,Male,2,1
Thank you for the fair pay.,Yes,3.00,19,English,37,no,Female,3,2
,Yes,4.00,20,English,25,,Male,1,1
,Yes,3.75,21,English,34,no,Male,3,1
Hope I did it correctly,Confused,3.00,22,English,28,None.,Male,2,2
,Yes,"Yes, thanks for caring about participants.",23,English,58,No,Female,2,2
Thank you for a fair priced hit.,Yes,3,24,English,72,No,Female,1,1
,Yes,4,25,english,32,,Male,3,1
"Thank you, and have a nice day!",Yes,3.00,26,English,51,No,Female,2,1
None,Yes,Yes,27,English,44,No,Female,3,1
,Yes,3.00,28,ENGLISH,36,NO,Female,1,1
,Yes,3.50,29,English,29,No,Male,3,1
This was a highly enjoyable HIT.,Yes,3.00,30,English,29,No.,Male,3,2
,Yes,3,31,English,25,na,Male,1,2
,Yes,3.00,32,English,64,No,Female,3,2
,,,33,,,,,-1,-1
no comments,No,3.50,34,English,38,no problems,Male,4,1
,Yes,3.50,35,English,30,no,Male,3,1
,Yes,3,36,english,61,no,Female,1,2
"My brain is now all jumbled up! lol
",Yes,3.00,37,english,69,no.,Female,2,2
,Yes,yes,38,english,46,no,Female,3,2
none,Yes,3,39,English,69,none,Female,4,1
,Yes,5.00,40,English,51,nothing,Male,2,2
no comments,Yes,3.00,41,English,38,no,Male,3,1
,Yes,5.00,42,english,39,none,Male,2,1
,Yes,4.50,43,English,44,No.,Female,3,1
,Yes,3.00,44,English,31,no,Female,2,2
,Yes,3,45,English,32,,Male,1,1
This task was easy to understand and finished it without any issues.,Yes,$3,46,English,22,No,Male,1,2
The instructions were clear and easy to understand.,Yes,3,47,English,34,No,Female,3,2
,Yes,3,48,English,34,No.,Other,2,2
,Yes,3.00,49,English,43,none,Female,1,1
,Yes,3.00,50,English,22,,Male,2,1
"interesting sentences, not many of them made much sense.",Yes,3.00,51,English,60,"none, thank you!",Female,3,1
,Yes,3,52,English,37,no,Male,3,2
,Yes,3.00,53,English,25,no,Female,2,0
,Yes,3,54,English,66,No,Male,2,2
Enjoyed!,Yes,3.00,55,English,56,no,Female,2,2
,Yes,3.00,56,english,46,no,Female,3,2
,Yes,3,57,English,28,No,Male,2,1
thank you!,No,3,58,English,29,no,Female,3,2
Good experiment,Yes,good,59,English,29,No,Male,3,2
,Yes,,60,English,23,,Male,3,2
,Yes,3.00,61,English,34,no,Male,3,1
none,Yes,3.50,62,English,32,no,Male,2,1
,Yes,3,63,english,26,no,Male,3,2
,Yes,3,64,English,25,Nope,Male,1,2
,Yes,3.00,65,english,39,No,Female,3,2
,Yes,5,66,english,26,,Male,1,1
,Yes,Yes,67,English,22,No,Female,1,2
I enjoyed the challenge.,Yes,3.00,68,English,59,no,Female,1,2
None,Yes,Yes,69,English,37,No,Male,3,1
none,Yes,3.50,70,English,53,none,Male,2,1
,Yes,1.50,71,English,22,No,Female,3,1
,Yes,3,72,english,38,no,Male,3,2
,Yes,3.00,73,English,53,no,Female,1,2
,Yes,3.00,74,English,24,Nope!,Female,2,2
,Yes,3.00,75,english,28,no issues,Male,1,2
,Yes,3,76,English,43,no,Female,3,2
,Yes,4.00,77,english,36,no,Male,3,1
,Yes,3,78,English,39,"There was a typo in one of the questions, it said ""The nuse"" and should have been ""The Nurse""",Male,3,1
,Yes,3,79,english,47,none at all,Male,3,2
TY,Yes,3,80,English,38,no,Male,2,2
I enjoyed the HIT. Very challenging overall. ,Yes,3.00,81,English,32,No,Female,3,2
Thank You,Yes,$4.50,82,English,45,I had no problems,Male,1,1
"This was interesting, thank you",Yes,3.00,83,English,42,Not at all,Male,2,2
,Yes,yes,84,english,32,no,Male,1,2
,Yes,3.00,85,english,34,no,Female,2,1
,Yes,5,86,English,28,,Female,3,1
,Yes,2,87,English,44,no,Male,1,1
,Yes,2.50,88,English,31,,Male,2,2
,No,2.5,89,english,32,none,Female,4,1
,Yes,This,90,English,56,No,Female,1,1
"I have no comments, the sentences did make my head swim a little trying to understand them, just because they were so different from what is normal sometimes",Yes,$2,91,English,27,no problems!,Male,3,1
,Confused,5.00,92,English,35,,Female,1,1
,Yes,sure,93,English,43,no problems,Female,3,1
Just that chocolate was spelled wrong in one of the sentence examples.,Yes,Yes,94,English,40,No,Female,4,2
,Yes,3.00,95,english,37,no,Female,2,2
Thanks!,Yes,4,96,English,62,No problems but many misspelled words,Female,3,2
,Yes,3,97,english,22,no,Male,3,1
,Yes,2.00,98,english,32,n/a,Male,3,1
,Yes,2.50,99,english,24,,Female,1,2
good,Yes,3,100,English,32,no,Male,4,2
,Yes,yes,101,english,28,no,Female,2,1
"Thank you very much for this HIT, and best of luck with your research",Yes,3,102,Italian,40,everything ran smoothly,Male,2,2
,Yes,$3,103,English,35,No,Male,4,1
"I have none, thanks!",Yes,3.00,104,english,37,I had no issues,Male,3,2
,Yes,Yes,105,English,31,None,Male,3,2
,Yes,3.00,106,english,27,no,Female,1,1
,Yes,3.00,107,english,39,,Female,3,1
interesting,Yes,3,108,"English,Croatian",30,no,Male,1,1
,Yes,4,109,english,48,none,Female,4,1
This was fun. Thanks! ,Yes,yes,110,English,37,no,Female,2,2
,Yes,3,111,English,23,,Male,2,2
,Yes,3.00,112,English,41,,Female,2,2
,Yes,3,113,English,25,no,Male,4,1
,Yes,Yes,114,English,35,No,Male,3,1
,Yes,2.50,115,ENGLISH,21,no,Female,3,2
,Yes,,116,english,47,,,2,1
,Yes,$2.5,117,English,41,,Male,3,1
