item_number,block_sequence,trial_sequence_total,Answer.time_in_minutes,workerid,Answer.condition,list_number,response,condition
practice_good,practice,0,7.53305,0,undefined,practice,1,practice_good
practice_bad,practice,0,7.53305,0,undefined,practice,0,practice_bad
2,1,1,7.53305,0,undefined,1,0,SUBJ
1,1,2,7.53305,0,undefined,1,0.59,CNPC
101,1,3,7.53305,0,undefined,1,1,FILL
3,1,4,7.53305,0,undefined,1,0.37,WH
991,1,5,7.53305,0,undefined,99,0,UNGRAM
18,2,6,7.53305,0,undefined,1,0.29,WH
17,2,7,7.53305,0,undefined,1,0.24,SUBJ
106,2,8,7.53305,0,undefined,1,0.99,FILL
16,2,9,7.53305,0,undefined,1,0.31,CNPC
21,3,10,7.53305,0,undefined,1,0.39,WH
19,3,11,7.53305,0,undefined,1,0,CNPC
20,3,12,7.53305,0,undefined,1,0,SUBJ
107,3,13,7.53305,0,undefined,1,0.8,FILL
4,4,14,7.53305,0,undefined,1,0.01,CNPC
102,4,15,7.53305,0,undefined,1,1,FILL
6,4,16,7.53305,0,undefined,1,0.33,WH
5,4,17,7.53305,0,undefined,1,0.16,SUBJ
992,4,18,7.53305,0,undefined,99,0,UNGRAM
28,5,19,7.53305,0,undefined,1,0.22,CNPC
29,5,20,7.53305,0,undefined,1,0,SUBJ
110,5,21,7.53305,0,undefined,1,0.74,FILL
30,5,22,7.53305,0,undefined,1,0,WH
15,6,23,7.53305,0,undefined,1,0,WH
14,6,24,7.53305,0,undefined,1,0,SUBJ
105,6,25,7.53305,0,undefined,1,0.85,FILL
13,6,26,7.53305,0,undefined,1,0.01,CNPC
44,7,27,7.53305,0,undefined,1,0,SUBJ
115,7,28,7.53305,0,undefined,1,0.73,FILL
43,7,29,7.53305,0,undefined,1,0,CNPC
45,7,30,7.53305,0,undefined,1,0.16,WH
35,8,31,7.53305,0,undefined,1,0,SUBJ
34,8,32,7.53305,0,undefined,1,0.06,CNPC
112,8,33,7.53305,0,undefined,1,1,FILL
36,8,34,7.53305,0,undefined,1,0.66,WH
31,9,35,7.53305,0,undefined,1,0.19,CNPC
32,9,36,7.53305,0,undefined,1,0,SUBJ
33,9,37,7.53305,0,undefined,1,0.37,WH
111,9,38,7.53305,0,undefined,1,0.83,FILL
10,10,39,7.53305,0,undefined,1,0.02,CNPC
12,10,40,7.53305,0,undefined,1,0.3,WH
11,10,41,7.53305,0,undefined,1,0,SUBJ
104,10,42,7.53305,0,undefined,1,1,FILL
994,10,43,7.53305,0,undefined,99,0,UNGRAM
27,11,44,7.53305,0,undefined,1,0.59,WH
25,11,45,7.53305,0,undefined,1,0.03,CNPC
109,11,46,7.53305,0,undefined,1,0.99,FILL
26,11,47,7.53305,0,undefined,1,0.13,SUBJ
103,12,48,7.53305,0,undefined,1,0.68,FILL
7,12,49,7.53305,0,undefined,1,0,CNPC
8,12,50,7.53305,0,undefined,1,0.3,SUBJ
9,12,51,7.53305,0,undefined,1,0,WH
993,12,52,7.53305,0,undefined,99,0,UNGRAM
23,13,53,7.53305,0,undefined,1,0.64,SUBJ
108,13,54,7.53305,0,undefined,1,1,FILL
22,13,55,7.53305,0,undefined,1,0.24,CNPC
24,13,56,7.53305,0,undefined,1,0.31,WH
37,14,57,7.53305,0,undefined,1,0,CNPC
38,14,58,7.53305,0,undefined,1,0,SUBJ
39,14,59,7.53305,0,undefined,1,1,WH
113,14,60,7.53305,0,undefined,1,0.61,FILL
42,15,61,7.53305,0,undefined,1,0.32,WH
40,15,62,7.53305,0,undefined,1,0.29,CNPC
114,15,63,7.53305,0,undefined,1,0.74,FILL
41,15,64,7.53305,0,undefined,1,0,SUBJ
practice_good,practice,0,9.231016666666667,1,undefined,practice,0.98,practice_good
practice_bad,practice,0,9.231016666666667,1,undefined,practice,0,practice_bad
26,1,1,9.231016666666667,1,undefined,1,0.01,SUBJ
109,1,2,9.231016666666667,1,undefined,1,0.48,FILL
27,1,3,9.231016666666667,1,undefined,1,0.03,WH
25,1,4,9.231016666666667,1,undefined,1,0.01,CNPC
12,2,5,9.231016666666667,1,undefined,1,0.02,WH
104,2,6,9.231016666666667,1,undefined,1,0.47,FILL
10,2,7,9.231016666666667,1,undefined,1,0.01,CNPC
11,2,8,9.231016666666667,1,undefined,1,0.45,SUBJ
994,2,9,9.231016666666667,1,undefined,99,0.46,UNGRAM
115,3,10,9.231016666666667,1,undefined,1,0.97,FILL
43,3,11,9.231016666666667,1,undefined,1,0.14,CNPC
44,3,12,9.231016666666667,1,undefined,1,0.88,SUBJ
45,3,13,9.231016666666667,1,undefined,1,0.5,WH
24,4,14,9.231016666666667,1,undefined,1,0.06,WH
108,4,15,9.231016666666667,1,undefined,1,0.99,FILL
23,4,16,9.231016666666667,1,undefined,1,0.91,SUBJ
22,4,17,9.231016666666667,1,undefined,1,0.04,CNPC
114,5,18,9.231016666666667,1,undefined,1,0.99,FILL
42,5,19,9.231016666666667,1,undefined,1,0.03,WH
41,5,20,9.231016666666667,1,undefined,1,0.03,SUBJ
40,5,21,9.231016666666667,1,undefined,1,0.03,CNPC
