workerid,anon_workerid
A37S96RT1P1IT2,0
A2M45YGLOWMO4N,1
A1QEQOI98976S0,2
A3P7QP6K56ED2Z,3
AAIQLE701DI9U,4
A1OIHI9UX426J6,5
A3S1DILZ70PXC,6
A2541C8MY0BYV3,7
AU5BD5NSSES9H,8
A1WH32GYQOHIRQ,9
A32HFMZVTLF1JG,10
A2QUQ0S2F6K3QJ,11
A1JWVT9JBWD3KC,12
A3GHPWV5J07UE8,13
A3R168GJZRF7KU,14
A353XKDTUX10NC,15
A16335MOISDG1F,16
AKZ8SFOAI4RZN,17
A2TSEQ0K6MLVK3,18
A3PIRKF57QSWMS,19
A1ZD8RU6YB0VEU,20
A1M682B2WUSYJP,21
AAOEHS9LFB8KA,22
A3KP8KFGG6734Q,23
AKG7VBOY97HKA,24
A2P065E9CYMYJL,25
A16Z9FSSF1X74O,26
A1JJYY622DGE5L,27
A2SM1GBN4ARGM4,28
AUFUUD4WG9CVO,29
A2WPKP73S4MBLK,30
A16OH8XXYY0AAS,31
A248QG4DPULP46,32
A3LL096CAY5WHB,33
A270HX8LH9LJ8W,34
A2ZDXFFGSPHGBE,35
AFN5VMMGYPF1I,36
A2APG8MSLJ6G2K,37
A2NT3OQZUUZPEO,38
A2MWAXV1YRK5GH,39
A1UZU88V9BMFT7,40
A3BHRFFG75X3GO,41
A3RYI5HXC2MJLN,42
A2NELZYZFD4SSQ,43
A3FT3XPTOWHJMY,44
A2QWTQ4I70BRWO,45
A27EV0216FCLJW,46
A1IAMNSZB9U4Z1,47
A1F1BIPJR11LSR,48
A1BVG13MHBM1YD,49
A25D8MUZP7CQEY,50
A2PXJTMWGUE5DC,51
A1P6OXEJ86HQRM,52
A1C59M3HPCO503,53
A2482SLAY120J2,54
A2ZGAH6NOSU2PO,55
A248LF7KKHXZ14,56
A340U0SD5JY71M,57
AZZA3J049G7R5,58
A2OV5NPNDK5O4C,59
A25JCKN3DMCYA0,60
ABNJUVNHFVINU,61
A3GK90X2QOFR53,62
AOWLCXNXCSQAC,63
A37XBH865833FE,64
AV22FQTJNBUZT,65
A3EBIC3PKUSKCL,66
A2BBDH8DZD77AU,67
A1QT7BQZVOBSY0,68
A2ODH6HV36EP88,69
A2AM62BHO8G9MB,70
AGWWUXDX6CI38,71
AMPMTF5IAAMK8,72
A2PJPPZIDN8886,73
A73UBWHFPAT7E,74
A2C73Y1COWCA51,75
A36GTTPW17HUL1,76
A1YSYI926BBOHW,77
A1945USNZHTROX,78
A26LOVXF4QZZCO,79
A2V27A9GZA1NR2,80
A27O2IILV3S5YS,81
A2KPT0PEUEXCC4,82
A2S64AUN7JI7ZS,83
AJDXSXAWDDAEO,84
A1Q68M0X4YXHKH,85
A3TUCOUVSP9ZGY,86
A1WCRV1WEWA63I,87
AFM65NU0UXIGP,88
A3VENK02U0X16N,89
A10249252O9I20MRSOBVF,90
A12FTSX85NQ8N9,91
A2YUCJ28XANFOX,92
A2ONILC0LZKG6Y,93
A2WTNZHRALOHX8,94
A3UDUHUVFKD833,95
A1P2RQ166VS5BT,96
A2UREJJH126LX9,97
AUCHGHY1IKZZK,98
A1TP0SGMUSJ34B,99
ACS9OP9KSUO5E,100
A230GPTWWF3SE7,101
A2VRDE2FHCBMF8,102
A1H2E85EW10IO3,103
A1NR3COO33J99C,104
AG6WV3WODQ7IN,105
AWTGJ45ZWUCHH,106
A2LZ0TBYJ91GYQ,107
A17K1CHOI773VZ,108
A2ZN2GY1G3V631,109
A3FXXVWB4808XQ,110
A3TBR1AXBDPV3C,111
ACAJFF4MF5S5X,112
A3DUL880Y08G95,113
A3LLOANE52R4LT,114
A2SNZOY3RDSJ9A,115
A1EY3CG2A5ZLZM,116
AEF74ZYJTTEIA,117
A2T3N9U2VPSFUM,118
A2GTJ0BD4CG1A2,119
A3N10C6UE6C2LF,120
A22DVMN2Y3XHWA,121
A23KAJRDVCVGOE,122
A320QA9HJFUOZO,123
A2YAYHZYI7M3HD,124
A2YN6IQ3VKRKRE,125
A1BNR1ZAF1QGWG,126
A1Z1O6MMOB3UWW,127
A2T007HZK66WM,128
A19L8SNH73AX1Z,129
ATGF05HW5Q63J,130
A2QX2B50DM45E2,131
AR1IWBDA7MC86,132
A3PN17H3QT51O,133
A1LA6CIGBNDOH9,134
A2FGKKWP33DFWS,135
AAASQIW3J32OL,136
A11BSFO4LMHPXQ,137
A64JDJKE9DYCT,138
A2W3I2GBGDB637,139
A1T2598R44X648,140
A1Y25W1Y7KDE5,141
AXO22N46CSNVT,142
A3FTZV5B9ILQET,143
A1VR49TB3Q4BV8,144
A23CXOC5SBL0CQ,145
AMV1E7FFPVAW4,146
A544FPX6FB2OS,147
AOAZMLP27GD81,148
A147F5PJTHOB8A,149
A2CM4LDI7GNDNW,150
A2SENAPNSXG9L,151
A2W8ZV9DQWVHJK,152
A2OVWCQ4B9AHFY,153
A149ROBL26JWPJ,154
A3LJ2FHESYV9QQ,155
ANVAFB99K5RKP,156
A1KLAGM9CCOFBN,157
A1198W1SPF1R4,158
A3PPCEDYR2EB22,159
A18XFOKU5G1OL1,160
ALU26OFJLVMAE,161
A3M877E9CGI09C,162
A3OTBMKOEQ410P,163
A1LJMGAUGAL3YY,164
ACJ6NSCIWMUZI,165
A3OPXWTBJZ37M8,166
A2ZGRB5DEGOG9C,167
A3FDEKBMR0QOYO,168
A36DK84J5YJ942,169
ADKYBMRKXK815,170
A9N2E4Z18H9PB,171
ANKDLLQHHM2OH,172
A3KC385CZNYEG5,173
A2R02DYCDLY75U,174
A20VKYV1BCNFFV,175
A16ANYLVNPKCVG,176
A1BQTDDVCHQM5T,177
A1FH1O46FOKOVA,178
A20EU0UH5K3VGE,179
