gender,comments,education,asses,fairprice,workerid,problems,enjoyment,age,language
Female,,3,Yes,3.00,0,no,1,32,english
Female,none,2,Yes,3,1,"It all worked fine, but there were some typos like nuse instead of nurse and an extra word in another context statement.",1,40,English
Female,nice,3,Yes,4,2,no,2,27,Hindi
Male,The iffy English really gets in your head and starts making you question if you're understanding it right or not...,2,Yes,3,3,,1,36,English
Male,N/A,2,Yes,Yes,4,No,2,45,English
Male,,4,Yes,3.50,5,None encountered. ,2,39,English
Male,Decent HIT. Thanks.,3,Yes,3.00,6,no,1,34,english
Female,none,3,Yes,3,7,no,2,42,English
Female,,1,Yes,3.00,8,,0,37,English
Male,NONE,2,Yes,yes,9,none,2,56,English
