problems,language,workerid,comments,education,enjoyment,fairprice,age,gender,asses
no,eng,0,ty,2,1,4.50,25,Male,Yes
None,English,1,"None, thank you!",1,2,2,30,Male,Yes
no,eng,2,worked fine thanks,2,2,4.50,60,Female,Yes
None,English,3,,1,2,yes very fair,65,Female,Yes
no,English,4,This was a lot of fun.  Thanks,3,2,4.50,43,Female,Yes
No.,English,5,Easy to understand with well-laid out instructions and quick interface.,2,1,4.50,42,Male,Yes
There were a fair amount of typos.,English,6,,2,1,4.50,45,Female,Yes
none,English,7,no comments,2,2,5.00,54,Male,Yes
No,English,8,The experiment was clear and concise.,3,2,4.5,41,Male,Yes
,english,9,,2,1,2.50,32,Male,Yes
nothing,English,10,nice experiment,4,1,5,28,Female,Yes
,English,11,,3,2,4.50,34,Female,Yes
None,English,12,,3,2,4.50,25,Male,Yes
"No, everything worked perfectly fine.",English,13,,2,1,4.00,26,Male,Yes
no,english,14,,1,2,4.50,31,Female,No
none,english,15,,3,1,4.50,33,Female,Yes
n/a,English ,16,good work,3,2,4.5,26,Male,Yes
Some mispellings and extraneous characters,English,17,,3,2,4.50,51,Male,Yes
No problems,english,18,,3,2,Yes! The pay was not too bad,26,Female,Yes
none,eng,19,please gimme more!,1,1,5.50,22,Male,Yes
None.,English,20,None.,3,1,4.5,32,Male,Yes
no,english,21,,1,1,5,61,Male,Yes
,English,22,it cool,3,2,4,27,Male,No
no,English,23,,3,2,yes,57,Female,Yes
just a few typos/misspellings I noticed.,English,24,interesting and great pay. Thanks,2,1,2.00,36,Female,Yes
no,English,25,"Very fair pay, easy to understand. Thank you.",3,2,4.50,31,Female,Yes
No problems,English,26,,3,1,yes,43,Female,Yes
no issues,english,27,,1,2,3.00,28,Male,Yes
"a fair number of typos and spelling errors - for example ""peace trty"".",English,28,,3,1,pay was good,43,Female,Yes
no,English,29,,2,1,4.50,41,Male,Yes
no,english,30,,1,2,4.50,43,Male,Yes
"No problems, everything worked very well. ",English,31,I really enjoyed this hit. Thank you very much. ,3,2,4.50,60,Male,Yes
No,English,32,,3,2,4.50,64,Female,Yes
There were a few typos in the sentences.,English,33,No comment.,3,1,4.50,36,Female,Yes
,English,34,,3,2,,27,Male,Yes
No problem at all,English,35,The experiment is actually fun to do. And the pay is high enough. Thanks,3,2,4.5,36,Male,Yes
,United States,36,,2,1,,32,Female,Yes
No,English,37,"Survey was different, yet enjoyable.",2,2,3.50-4.50,29,Female,Yes
It would have been helpful to know the target question would be a sentence.  I answered incorrectly on the first two questions.   ,English,38,Thank you so very much!,3,2,5,62,Female,Yes
no problems,English,39,There are a lot of typos,3,2,4.50,55,Female,Yes
NO,english,40,,2,2,4,34,Male,Yes
No,English,41,,3,2,4.5,26,Female,Yes
none,English,42,good,3,2,5.00,30,Male,Yes
Some tricky but i am understand ,English,43,,3,1,5.00,38,Female,Yes
no,english,44,,1,2,4.50,33,Male,Yes
No,English,45,Nice task,4,2,5.50,28,Male,Yes
none,english,46,nice experiment,4,2,4.50,28,Female,Yes
,,47,,3,2,,,Female,Yes
no,English,48,thanks,3,1,7.00,33,Male,Yes
none,english,49,fun hit,2,2,5.00,52,Male,Yes
Only a few typos.,English,50,"Convoluted sentences, oy... Thanks for the HIT.",3,2,4.50,61,Female,Yes
no,English,51,good,3,1,yes,47,Male,Confused
no,english,52,n/a,3,1,5.00,33,Female,Yes
No.,English,53,,3,1,8.00,31,Male,Yes
no,english,54,none,2,1,4.50,45,Female,Yes
no,English,55,,2,2,4.50,38,Female,Yes
no,English,56,,1,2,4.00,61,Female,Yes
I noticed no issues during the experiment.,English,57,,1,1,$4.00,33,Female,Yes
No,english,58,Thanks for the opportunity to participate!,1,1,1.00,37,Male,Yes
No issues. Thank you. ,English,59,,4,1,4.50,36,Female,Yes
No,english,60,,2,2,4.50,56,Male,Yes
,English,61,,3,1,5.00,34,Female,Yes
no problems,English,62,This one made my brain hurt.,2,1,4.50,34,Male,No
no problems,english,63,no,3,2,2,58,Male,Yes
no there was none,ENGLISH ,64,No comments,4,2,5,24,Female,Yes
,English,65,,3,2,5,33,Male,
no,english,66,,3,2,4,38,Male,Yes
no,English,67,Thank you!,3,2,4.5,41,Male,Yes
