OS,screenH,screenW,workerid,Browser
Windows,663,1173,0,Chrome
Windows,1080,1920,1,Chrome
Windows,563,1001,2,Chrome
Windows,720,1280,3,Firefox
Windows,1080,1920,4,Chrome
Windows,1200,1920,5,Chrome
Windows,535,951,6,Chrome
Windows,1080,1920,7,Chrome
Windows,768,1366,8,Chrome
Windows,768,1366,9,Chrome
Windows,768,1366,10,Chrome
Mac,900,1440,11,Chrome
Windows,864,1536,12,Chrome
Windows,768,1366,13,Chrome
Windows,960,1440,14,Chrome
Linux,768,1366,15,Chrome
Windows,960,1440,16,Chrome
Windows,864,1536,17,Chrome
Windows,854,1280,18,Chrome
Windows,864,1536,19,Chrome
Windows,864,1536,20,Chrome
Windows,1080,1920,21,Chrome
Windows,768,1366,22,Chrome
Windows,768,1360,23,Chrome
Linux,768,1366,24,Chrome
Windows,912,1368,25,Chrome
Windows,1080,1920,26,Firefox
Windows,1080,1920,27,Chrome
Windows,768,1366,28,Chrome
Windows,1024,1536,29,Chrome
Windows,900,1600,30,Firefox
Windows,1080,1920,31,Chrome
Windows,768,1366,32,Chrome
Windows,1080,1920,33,Chrome
Windows,912,1368,34,Chrome
Windows,864,1536,35,Chrome
Windows,663,1173,36,Chrome
Windows,720,1280,37,Chrome
Mac,900,1440,38,Chrome
Linux,1080,1920,39,Chrome
Windows,768,1366,40,Chrome
Windows,1080,1920,41,Firefox
Windows,768,1366,42,Chrome
Windows,800,1280,43,Chrome
Windows,768,1366,44,Chrome
Windows,768,1366,45,Chrome
Windows,768,1366,46,Chrome
Mac,1200,1920,47,Chrome
Windows,1080,1920,48,Chrome
Linux,1080,1920,49,Chrome
Mac,900,1440,50,Chrome
Windows,800,1280,51,Chrome
Windows,768,1366,52,Chrome
Windows,1920,1080,53,Chrome
Windows,864,1536,54,Chrome
Windows,768,1366,55,Chrome
Windows,900,1600,56,Chrome
Windows,1080,1920,57,Firefox
Windows,1050,1680,58,Chrome
Mac,900,1440,59,Chrome
Windows,1080,1920,60,Chrome
Windows,1080,1920,61,Chrome
Windows,1080,1920,62,Chrome
Windows,768,1366,63,Chrome
Windows,1368,912,64,Chrome
Windows,1440,3440,65,Chrome
Windows,768,1366,66,Chrome
Windows,1080,1920,67,Chrome
Windows,1080,1920,68,Firefox
Windows,864,1536,69,Chrome
Windows,720,1280,70,Chrome
Windows,900,1600,71,Chrome
Windows,1440,2560,72,Chrome
Windows,768,1364,73,Chrome
Windows,1080,1920,74,Chrome
Windows,864,1536,75,Chrome
Windows,768,1366,76,Chrome
Windows,1080,1920,77,Chrome
Windows,864,1536,78,Chrome
Windows,1080,1920,79,Chrome
Windows,768,1366,80,Chrome
Windows,576,1024,81,Firefox
Windows,864,1536,82,Chrome
Windows,768,1366,83,Chrome
Windows,1080,1920,84,Chrome
Mac,1080,1920,85,Chrome
Windows,768,1366,86,Chrome
Windows,1080,1920,87,Chrome
Windows,1200,1920,88,Firefox
Windows,704,1252,89,Firefox
Windows,912,1368,90,Chrome
Windows,864,1536,91,Chrome
Windows,768,1366,92,Chrome
Windows,1440,2560,93,Chrome
Windows,768,1360,94,Chrome
Windows,1080,2560,95,Chrome
Mac,1080,1920,96,Chrome
Windows,1080,1920,97,Chrome
Windows,768,1366,98,Chrome
Windows,864,1536,99,Chrome
Windows,1080,1920,100,Chrome
Windows,1050,1680,101,Chrome
Windows,768,1366,102,Chrome
Windows,768,1366,103,Chrome
Windows,768,1366,104,Chrome
Windows,1080,1920,105,Chrome
Windows,816,1450,106,Chrome
Windows,768,1366,107,Chrome
Windows,825,1467,108,Firefox
Windows,768,1366,109,Chrome
Windows,1080,1920,110,Chrome
Windows,768,1366,111,Chrome
Windows,864,1536,112,Chrome
Mac,800,1280,113,Chrome
Windows,768,1366,114,Chrome
Windows,1080,1920,115,Chrome
Windows,768,1366,116,Chrome
Windows,768,1366,117,Chrome
Windows,1080,1920,118,Chrome
Linux,768,1366,119,Chrome
Linux,640,360,120,Chrome
Windows,1080,1920,121,Chrome
Windows,768,1366,122,Chrome
Windows,900,1600,123,Chrome
Windows,1080,1920,30,Chrome
Windows,615,820,124,Chrome
Windows,768,1366,125,Chrome
Windows,864,1536,126,Chrome
Windows,1080,1920,127,Chrome
Windows,1080,1920,128,Chrome
Mac,1080,1920,129,Chrome
Windows,768,1366,130,Chrome
Windows,1080,1920,131,Chrome
Windows,864,1536,132,Chrome
Windows,1080,2560,133,Chrome
Linux,774,1376,134,Firefox
Windows,900,1600,135,Chrome
Windows,768,1366,136,Chrome
Windows,1080,1920,137,Chrome
Windows,768,1366,40,Chrome
Mac,1440,2560,138,Chrome
Windows,1080,1920,74,Chrome
Windows,864,1536,17,Chrome
Windows,768,1366,139,Chrome
Windows,1440,2560,140,Chrome
Windows,1080,1920,141,Chrome
Windows,1050,1680,142,Firefox
Windows,1080,1920,143,Chrome
Windows,864,1536,82,Chrome
Windows,864,1536,144,Chrome
Windows,768,1366,145,Chrome
Windows,768,1366,146,Chrome
Windows,1080,1920,147,Chrome
Windows,1080,1920,148,Chrome
Windows,768,1366,149,Chrome
Windows,768,1366,150,Chrome
Windows,900,1600,151,Chrome
Windows,768,1366,32,Chrome
Windows,768,1366,152,Chrome
Windows,864,1536,153,Chrome
Windows,900,1600,154,Chrome
Windows,768,1366,155,Chrome
Windows,1440,2560,156,Chrome
Windows,1080,1920,157,Chrome
Windows,768,1366,158,Chrome
Windows,768,1366,159,Chrome
Windows,864,1536,160,Chrome
Windows,960,1707,161,Chrome
Windows,864,1536,162,Chrome
Windows,1080,1920,163,Chrome
Windows,768,1366,164,Chrome
Windows,900,1600,165,Chrome
Windows,1080,1920,77,Chrome
Windows,768,1366,166,Chrome
Windows,768,1366,167,Chrome
Windows,900,1600,168,Chrome
Windows,720,1280,169,Chrome
Windows,768,1366,170,Chrome
Windows,768,1364,171,Chrome
Windows,1080,1920,172,Chrome
Windows,864,1536,173,Chrome
Windows,860,1376,174,Firefox
Windows,768,1360,175,Chrome
Mac,800,1280,176,Chrome
Windows,960,1440,177,Chrome
Windows,1080,1920,178,Chrome
Windows,1440,2560,179,Chrome
Windows,1080,1920,180,Chrome
Windows,864,1536,181,Chrome
Windows,900,1600,182,Chrome
Windows,1080,1920,183,Chrome
Windows,864,1536,184,Chrome
Windows,768,1366,185,Chrome
Windows,864,1536,186,Chrome
Windows,1152,2048,187,Chrome
Windows,1080,1920,48,Chrome
Windows,1080,1920,188,Chrome
Windows,1440,2560,189,Chrome
Windows,768,1366,190,Chrome
