Answer.time_in_minutes,block_sequence,workerid,response,trial_sequence_total,Answer.condition,condition,first_response_value,wrong_attempts,list_number,item_number
3.6876,practice,0,1,0,undefined,practice_good,,0,practice,practice_good
3.6876,practice,0,0,0,undefined,practice_bad,,0,practice,practice_bad
3.6876,1,0,0.92,1,undefined,CNPC,,,1,4
3.6876,1,0,0.51,2,undefined,FILL,,,1,132
3.6876,1,0,0.11,3,undefined,SUBJ,,,1,5
3.6876,1,0,0.46,4,undefined,WH,,,1,6
3.6876,1,0,0.67,5,undefined,FILL,,,1,117
3.6876,1,0,0.43,6,undefined,FILL,,,1,102
3.6876,1,0,0.69,7,undefined,UNGRAM,,,99,992
3.6876,1,0,0.3,8,undefined,FILL,,,99,992
3.6876,2,0,0.52,9,undefined,FILL,,,1,131
3.6876,2,0,0.86,10,undefined,SUBJ,,,1,2
3.6876,2,0,0.44,11,undefined,FILL,,,1,101
3.6876,2,0,0.27,12,undefined,FILL,,,1,116
3.6876,2,0,0.55,13,undefined,CNPC,,,1,1
3.6876,2,0,0.43,14,undefined,WH,,,1,3
3.6876,2,0,0.69,15,undefined,UNGRAM,,,99,991
3.6876,2,0,0.37,16,undefined,FILL,,,99,991
3.6876,3,0,0.52,17,undefined,SUBJ,,,1,35
3.6876,3,0,0.72,18,undefined,FILL,,,1,127
3.6876,3,0,0.43,19,undefined,CNPC,,,1,34
3.6876,3,0,0.89,20,undefined,FILL,,,1,142
3.6876,3,0,0.19,21,undefined,FILL,,,1,112
3.6876,3,0,0.49,22,undefined,WH,,,1,36
3.6876,4,0,0.53,23,undefined,SUBJ,,,1,44
3.6876,4,0,0.77,24,undefined,FILL,,,1,145
3.6876,4,0,0.47,25,undefined,WH,,,1,45
3.6876,4,0,0.32,26,undefined,FILL,,,1,130
3.6876,4,0,0.74,27,undefined,CNPC,,,1,43
3.6876,4,0,0.46,28,undefined,FILL,,,1,115
3.6876,5,0,0.27,29,undefined,WH,,,1,24
