language,age,problems,enjoyment,fairprice,asses,comments,gender,education,workerid
English,63,nope,1,yes,Yes,none,Female,1,0
english,56,No,1,1.00,Yes,,Male,2,1
English,55,none,2,4.00,Yes,none,Male,0,2
English,35,No.,2,4.00,Yes,None.,Male,3,3
English,28,No,2,4.00,Yes,,Female,2,4
English,62,no,2,4,Yes,"I did a similar survey by you yesterday, so I hope it's okay that I did this one as well. The reward was a different amount so I'm assuming these are two different surveys. ",Female,1,5
eng,20,no,2,yes,Yes,,Male,2,6
English,27,Nope!,1,Average,Yes,,Female,3,7
English,61,no,2,yes,Yes,,Male,1,8
ENGLISH,34,NO,2,LIKE ,Yes,Very interesting,Female,3,9
English,36,none,2,2.50,Yes,"I like these types of HITs, they are fun to do.",Female,3,10
English,38,no,2,4,Yes,Thank You !!!,Male,2,11
English,31,Nope,2,3,Yes,Thanks!,Male,2,12
english,22,none.,2,5.00,Yes,gimme more,Male,1,13
English,37,no,2,4.00,Yes,,Male,3,14
English,26,,1,4.00,Yes,,Male,1,15
English,25,none,2,4.00,,none,Female,3,16
English,67,no,1,4,Yes,none,Male,2,17
english,69,none,2,4.00,Yes,none. thanks!,Female,2,18
English,42,no,2,4,Yes,n/a,Female,4,19
English,39,N/A,2,4.50,Yes,,Male,4,20
english,34,no,2,4.00,Yes,,Male,3,21
English,54,no,2,4,Yes,,Male,3,22
English,27,n/a,2,7.00,Yes,,Male,3,23
English,35,Not really,2,4,Yes,,Male,3,24
english,33,none,2,4.50,Yes,,Male,3,25
English,41,"The time was too short, I felt rushed towards the end.",2,$9/hr,Yes,"I would LOVE to take part in this type of HIT again, this is right in line with my interests!",Female,2,26
English,61,none,1,4.00,Yes,thank you!,Female,3,27
English,35,no,2,4,Yes,well done,Female,4,28
English,60,no,1,4,Yes,,Female,3,29
Englsih,41,none,2,4.00,Yes,,Male,2,30
English,34,No.,2,4.00,Yes,,Other,2,31
English,43,none,0,4.00,Yes,,Male,1,32
English,37,No,2,Yes,Yes,"Good HIT, good pay.",Male,2,33
english,35,no,2,4.00,Yes,,Male,3,34
