Answer.time_in_minutes,item_number,first_response_value,wrong_attempts,condition,list_number,trial_sequence_total,Answer.condition,workerid,block_sequence,response
,,,,,,,,,,
10.14495,practice_good,,0,practice_good,practice,0,undefined,0,practice,1
,,,,,,,,,,
10.14495,practice_bad,,0,practice_bad,practice,0,undefined,0,practice,0.09
,,,,,,,,,,
10.14495,29,,,SUBJ,1,1,undefined,0,1,0.21
,,,,,,,,,,
10.14495,110,,,FILL,1,2,undefined,0,1,1
,,,,,,,,,,
10.14495,125,,,UNGRAM,1,3,undefined,0,1,0.01
,,,,,,,,,,
10.14495,30,,,WH,1,4,undefined,0,1,0.6
,,,,,,,,,,
10.14495,28,,,CNPC,1,5,undefined,0,1,0.97
,,,,,,,,,,
10.14495,12,,,WH,1,6,undefined,0,2,0.65
,,,,,,,,,,
10.14495,119,,,UNGRAM,1,7,undefined,0,2,0.01
,,,,,,,,,,
10.14495,11,,,SUBJ,1,8,undefined,0,2,0.29
,,,,,,,,,,
10.14495,104,,,FILL,1,9,undefined,0,2,0.95
,,,,,,,,,,
10.14495,10,,,CNPC,1,10,undefined,0,2,0.78
,,,,,,,,,,
10.14495,102,,,FILL,1,11,undefined,0,3,1
,,,,,,,,,,
10.14495,5,,,SUBJ,1,12,undefined,0,3,0.49
,,,,,,,,,,
10.14495,4,,,CNPC,1,13,undefined,0,3,0.26
,,,,,,,,,,
10.14495,6,,,WH,1,14,undefined,0,3,0.69
,,,,,,,,,,
10.14495,117,,,UNGRAM,1,15,undefined,0,3,0
,,,,,,,,,,
10.14495,17,,,SUBJ,1,16,undefined,0,4,0.73
,,,,,,,,,,
10.14495,121,,,UNGRAM,1,17,undefined,0,4,0
,,,,,,,,,,
10.14495,16,,,CNPC,1,18,undefined,0,4,0.75
,,,,,,,,,,
10.14495,18,,,WH,1,19,undefined,0,4,0.99
,,,,,,,,,,
10.14495,106,,,FILL,1,20,undefined,0,4,1
,,,,,,,,,,
10.14495,108,,,FILL,1,21,undefined,0,5,1
,,,,,,,,,,
10.14495,22,,,CNPC,1,22,undefined,0,5,0.85
,,,,,,,,,,
10.14495,123,,,UNGRAM,1,23,undefined,0,5,0.03
,,,,,,,,,,
10.14495,24,,,WH,1,24,undefined,0,5,0.87
,,,,,,,,,,
10.14495,23,,,SUBJ,1,25,undefined,0,5,0.98
,,,,,,,,,,
10.14495,112,,,FILL,1,26,undefined,0,6,0.82
,,,,,,,,,,
10.14495,127,,,UNGRAM,1,27,undefined,0,6,0.1
,,,,,,,,,,
10.14495,35,,,SUBJ,1,28,undefined,0,6,1
,,,,,,,,,,
10.14495,34,,,CNPC,1,29,undefined,0,6,0.74
,,,,,,,,,,
10.14495,36,,,WH,1,30,undefined,0,6,0.99
,,,,,,,,,,
10.14495,130,,,UNGRAM,1,31,undefined,0,7,0.21
,,,,,,,,,,
10.14495,115,,,FILL,1,32,undefined,0,7,0.97
,,,,,,,,,,
10.14495,43,,,CNPC,1,33,undefined,0,7,0.69
,,,,,,,,,,
10.14495,44,,,SUBJ,1,34,undefined,0,7,0.41
,,,,,,,,,,
10.14495,45,,,WH,1,35,undefined,0,7,0.7
,,,,,,,,,,
10.14495,37,,,CNPC,1,36,undefined,0,8,0.49
,,,,,,,,,,
10.14495,128,,,UNGRAM,1,37,undefined,0,8,0.21
,,,,,,,,,,
10.14495,113,,,FILL,1,38,undefined,0,8,0.85
,,,,,,,,,,
10.14495,38,,,SUBJ,1,39,undefined,0,8,0.77
,,,,,,,,,,
10.14495,39,,,WH,1,40,undefined,0,8,1
,,,,,,,,,,
10.14495,120,,,UNGRAM,1,41,undefined,0,9,0.15
,,,,,,,,,,
10.14495,105,,,FILL,1,42,undefined,0,9,0.97
,,,,,,,,,,
10.14495,15,,,WH,1,43,undefined,0,9,0.59
,,,,,,,,,,
10.14495,13,,,CNPC,1,44,undefined,0,9,0.32
,,,,,,,,,,
10.14495,14,,,SUBJ,1,45,undefined,0,9,1
,,,,,,,,,,
10.14495,122,,,UNGRAM,1,46,undefined,0,10,0.13
,,,,,,,,,,
10.14495,21,,,WH,1,47,undefined,0,10,0.75
,,,,,,,,,,
10.14495,107,,,FILL,1,48,undefined,0,10,0.98
,,,,,,,,,,
10.14495,20,,,SUBJ,1,49,undefined,0,10,0.9
,,,,,,,,,,
10.14495,19,,,CNPC,1,50,undefined,0,10,0.34
,,,,,,,,,,
10.14495,3,,,WH,1,51,undefined,0,11,0.97
,,,,,,,,,,
10.14495,1,,,CNPC,1,52,undefined,0,11,0.71
,,,,,,,,,,
10.14495,116,,,UNGRAM,1,53,undefined,0,11,0.01
,,,,,,,,,,
10.14495,101,,,FILL,1,54,undefined,0,11,0.97
,,,,,,,,,,
10.14495,2,,,SUBJ,1,55,undefined,0,11,0.73
,,,,,,,,,,
10.14495,124,,,UNGRAM,1,56,undefined,0,12,0.12
,,,,,,,,,,
10.14495,109,,,FILL,1,57,undefined,0,12,1
,,,,,,,,,,
10.14495,26,,,SUBJ,1,58,undefined,0,12,0.85
,,,,,,,,,,
10.14495,27,,,WH,1,59,undefined,0,12,1
,,,,,,,,,,
10.14495,25,,,CNPC,1,60,undefined,0,12,0.9
,,,,,,,,,,
10.14495,129,,,UNGRAM,1,61,undefined,0,13,0.01
,,,,,,,,,,
10.14495,42,,,WH,1,62,undefined,0,13,1
,,,,,,,,,,
10.14495,114,,,FILL,1,63,undefined,0,13,0.78
,,,,,,,,,,
10.14495,41,,,SUBJ,1,64,undefined,0,13,0.34
,,,,,,,,,,
10.14495,40,,,CNPC,1,65,undefined,0,13,0.99
,,,,,,,,,,
10.14495,31,,,CNPC,1,66,undefined,0,14,0.91
,,,,,,,,,,
10.14495,111,,,FILL,1,67,undefined,0,14,0.98
,,,,,,,,,,
10.14495,126,,,UNGRAM,1,68,undefined,0,14,0.01
,,,,,,,,,,
10.14495,32,,,SUBJ,1,69,undefined,0,14,1
,,,,,,,,,,
10.14495,33,,,WH,1,70,undefined,0,14,0.92
,,,,,,,,,,
10.14495,9,,,WH,1,71,undefined,0,15,0.38
,,,,,,,,,,
10.14495,118,,,UNGRAM,1,72,undefined,0,15,0.07
,,,,,,,,,,
10.14495,103,,,FILL,1,73,undefined,0,15,0.99
,,,,,,,,,,
10.14495,7,,,CNPC,1,74,undefined,0,15,0.94
,,,,,,,,,,
