enjoyment,language,fairprice,comments,workerid,education,age,problems,gender,asses
2,English,3,,0,4,30,No,Female,Yes
2,English,$3,It seemed like Emily's sentences made more sense as the the study went on and Thomas's made less sense. It was interesting. ,1,3,34,No,Male,No
2,English,3.00,"To be honest, I inadvertently moved the cursor to the wrong person on one of the attention checks instead of Thomas. I hope this does not affect my earnings :(",2,3,38,none,Male,Yes
1,english,no fair,liked,3,2,47,no it is clear,Male,Yes
2,ENGLISH,NO,LIKE THIS SURVEY,4,3,47,NO,Male,Yes
2,Engish,3,,5,3,37,no,Male,Yes
1,English,$5,It was okay.,6,4,25,no,Male,Yes
2,English,yes,I really enjoyed your study,7,3,34,NONE,Female,Yes
2,english,3,n/a,8,2,34,no,Female,Yes
2,English,3.00,Thank you,9,1,47,no,Female,Yes
2,english,3.00,,10,2,37,No,Female,Yes
2,English,3.00,"Thank you, and have a nice day!",11,2,51,No.,Female,Yes
2,english,3,none. thank you.,12,2,69,none,Female,Yes
2,English ,,,13,2,32,,Male,Yes
2,English,fair,,14,3,38,no,Male,Yes
0,English,4.50,none,15,2,32,none,Male,Yes
1,English,5.00,,16,2,57,"No, none.",Male,Yes
2,English,3.00,I have nothing else to add,17,3,33,No,Male,Yes
2,english,3,eassy and usefull servey ,18,3,44,no ,Female,Yes
2,English,5,"None, thanks.",19,2,31,No,Female,Yes
2,english,3,fun survey overall,20,1,50,no,Female,Yes
2,English,3,,21,2,29,no,Female,Yes
1,english,5.00,,22,2,39,none,Male,Yes
2,english,yes,,23,3,45,no,Female,Yes
2,English,3,very interesting,24,3,35,no,Male,Yes
2,English and Spanish,yes,I'd be interested in having maybe a 4th option to compare to rather than just the same 3 characters. After a while it got rather easy to predict who was going to mangle their questions and who wasn't.,25,2,41,"No problems, it went pretty well with no bugs that I saw.",Female,Yes
2,english,3.00,,26,2,25,no,Female,Yes
2,English,3.00,,27,4,52,none,Male,Yes
2,English,3.00,,28,2,60,no,Male,Yes
2,english,3.50,This was a great experiment. Keep up the good work!,29,3,40,no,Female,Yes
2,English,3,Good one. Thanks for the opportunity.,30,3,28,No issue,Female,Yes
