test_match_cond,speaker_identity,trial_sequence_total,list_number,phase,condition,Answer.time_in_minutes,wrong_attempts,block_sequence,workerid,item_number,island_tested,response,Answer.condition,comp_question_exist,first_response_value,comp_answer
,,,,,,,,,,,,,,,,
,,0,practice,,practice_good,12.01795,0,practice,0,practice_good,,0.99,undefined,,,
,,,,,,,,,,,,,,,,
,,0,practice,,practice_bad,12.01795,0,practice,0,practice_bad,,0.04,undefined,,,
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,1,1,exposure,UNGRAM,12.01795,,1,0,128,SUBJ,0.98,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,2,1,exposure,SUBJ,12.01795,,1,0,38,SUBJ,0.56,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,3,1,exposure,FILL,12.01795,,1,0,113,SUBJ,0.98,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,4,1,exposure,FILL,12.01795,,2,0,101,SUBJ,0.92,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,5,1,exposure,UNGRAM,12.01795,,2,0,116,SUBJ,0.04,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,6,1,exposure,SUBJ,12.01795,,2,0,2,SUBJ,0.04,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,7,1,exposure,UNGRAM,12.01795,,3,0,124,SUBJ,0.03,undefined,1,,Iron-Head
,,,,,,,,,,,,,,,,
mismatch,Thomas,8,1,exposure,SUBJ,12.01795,,3,0,26,SUBJ,0.75,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,9,1,exposure,FILL,12.01795,,3,0,109,SUBJ,0.9,undefined,1,,Gregory
,,,,,,,,,,,,,,,,
mismatch,Gregory,10,1,exposure,FILL,12.01795,,4,0,102,SUBJ,0.9,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,11,1,exposure,UNGRAM,12.01795,,4,0,117,SUBJ,0.14,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,12,1,exposure,SUBJ,12.01795,,4,0,5,SUBJ,0.89,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,13,1,exposure,UNGRAM,12.01795,,5,0,123,SUBJ,0.07,undefined,1,,Iron-Head
,,,,,,,,,,,,,,,,
mismatch,Thomas,14,1,exposure,SUBJ,12.01795,,5,0,23,SUBJ,0.95,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,15,1,exposure,FILL,12.01795,,5,0,108,SUBJ,0.89,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,16,1,exposure,UNGRAM,12.01795,,6,0,129,SUBJ,0.06,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,17,1,exposure,SUBJ,12.01795,,6,0,41,SUBJ,0.93,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,18,1,exposure,FILL,12.01795,,6,0,114,SUBJ,1,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,19,1,exposure,UNGRAM,12.01795,,7,0,118,SUBJ,0.03,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,20,1,exposure,FILL,12.01795,,7,0,103,SUBJ,0.91,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,21,1,exposure,SUBJ,12.01795,,7,0,8,SUBJ,0.97,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,22,1,exposure,UNGRAM,12.01795,,8,0,121,SUBJ,0.02,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,23,1,exposure,SUBJ,12.01795,,8,0,17,SUBJ,0.98,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Gregory,24,1,exposure,FILL,12.01795,,8,0,106,SUBJ,0.96,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,25,1,exposure,SUBJ,12.01795,,9,0,14,SUBJ,0.97,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,26,1,exposure,UNGRAM,12.01795,,9,0,120,SUBJ,0.29,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,27,1,exposure,FILL,12.01795,,9,0,105,SUBJ,0.99,undefined,1,,Gregory
,,,,,,,,,,,,,,,,
mismatch,Gregory,28,1,exposure,FILL,12.01795,,10,0,111,SUBJ,0.97,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,29,1,exposure,SUBJ,12.01795,,10,0,32,SUBJ,0.94,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,30,1,exposure,UNGRAM,12.01795,,10,0,126,SUBJ,0.02,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Gregory,31,1,exposure,FILL,12.01795,,11,0,107,SUBJ,0.98,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,32,1,exposure,UNGRAM,12.01795,,11,0,122,SUBJ,0.04,undefined,0,,/
,,,,,,,,,,,,,,,,
